index,connection,timestamps,sizes,directions,file_name
1,"('10.184.62.19', 51098, '10.10.1.5', 53, 'UDP')",1727358764.838047,[75],[0],google_drive_upl-dw.pcap
2,"('10.184.62.19', 61724, '10.10.1.5', 53, 'UDP')",1727358764.838382,[75],[0],google_drive_upl-dw.pcap
3,"('10.184.62.19', 52144, '10.10.1.5', 53, 'UDP')",1727358764.838802,[75],[0],google_drive_upl-dw.pcap
4,"('10.184.62.19', 52504, '10.10.1.5', 53, 'UDP')",1727358764.839064,[75],[0],google_drive_upl-dw.pcap
5,"('10.10.1.5', 53, '10.184.62.19', 51098, 'UDP')",1727358764.842051,[91],[1],google_drive_upl-dw.pcap
6,"('10.10.1.5', 53, '10.184.62.19', 61724, 'UDP')",1727358764.842051,[128],[1],google_drive_upl-dw.pcap
7,"('10.10.1.5', 53, '10.184.62.19', 52504, 'UDP')",1727358764.842051,[128],[1],google_drive_upl-dw.pcap
8,"('10.10.1.5', 53, '10.184.62.19', 52144, 'UDP')",1727358764.842051,[91],[1],google_drive_upl-dw.pcap
9,"('10.184.62.19', 49665, '10.10.1.5', 53, 'UDP')","1727358764.877934,1727358764.915605,1727358772.367410,1727358774.411997","[75, 78, 75, 81]","[0, 0, 0, 0]",google_drive_upl-dw.pcap
10,"('10.184.62.19', 53831, '10.10.1.5', 53, 'UDP')","1727358764.878184,1727358765.538492,1727358768.148886","[75, 80, 77]","[0, 0, 0]",google_drive_upl-dw.pcap
11,"('10.10.1.5', 53, '10.184.62.19', 49665, 'UDP')","1727358764.879930,1727358764.944305,1727358772.398057,1727358774.445563","[91, 334, 75, 81]","[0, 0, 0, 1]",google_drive_upl-dw.pcap
12,"('10.10.1.5', 53, '10.184.62.19', 53831, 'UDP')","1727358764.879930,1727358765.569433,1727358768.181993","[128, 96, 93]","[0, 0, 1]",google_drive_upl-dw.pcap
13,"('10.184.62.19', 50085, '10.10.1.5', 53, 'UDP')",1727358764.915206,[89],[0],google_drive_upl-dw.pcap
14,"('10.184.62.19', 65193, '10.10.1.5', 53, 'UDP')",1727358764.915332,[89],[0],google_drive_upl-dw.pcap
15,"('10.184.62.19', 65194, '10.10.1.5', 53, 'UDP')",1727358764.915673,[78],[0],google_drive_upl-dw.pcap
16,"('10.184.62.19', 59776, '10.10.1.5', 53, 'UDP')",1727358764.915775,[85],[0],google_drive_upl-dw.pcap
17,"('10.184.62.19', 50293, '10.10.1.5', 53, 'UDP')",1727358764.915851,[85],[0],google_drive_upl-dw.pcap
18,"('10.184.62.19', 55934, '10.10.1.5', 53, 'UDP')",1727358764.915997,[79],[0],google_drive_upl-dw.pcap
19,"('10.184.62.19', 49331, '10.10.1.5', 53, 'UDP')",1727358764.916067,[79],[0],google_drive_upl-dw.pcap
20,"('10.184.62.19', 62895, '10.10.1.5', 53, 'UDP')",1727358764.916198,[74],[0],google_drive_upl-dw.pcap
21,"('10.184.62.19', 64098, '10.10.1.5', 53, 'UDP')",1727358764.916260,[74],[0],google_drive_upl-dw.pcap
22,"('10.10.1.5', 53, '10.184.62.19', 62895, 'UDP')",1727358764.946032,[90],[1],google_drive_upl-dw.pcap
23,"('10.10.1.5', 53, '10.184.62.19', 49331, 'UDP')",1727358764.946787,[79],[1],google_drive_upl-dw.pcap
24,"('10.10.1.5', 53, '10.184.62.19', 50085, 'UDP')",1727358764.946787,[105],[1],google_drive_upl-dw.pcap
25,"('10.10.1.5', 53, '10.184.62.19', 65194, 'UDP')",1727358764.946787,[78],[1],google_drive_upl-dw.pcap
26,"('10.10.1.5', 53, '10.184.62.19', 64098, 'UDP')",1727358764.946787,[74],[1],google_drive_upl-dw.pcap
