index,connection,timestamps,sizes,directions,file_name
1,"('10.184.62.19', 60352, '138.197.240.19', 443, 'TCP')","1727356408.373944,1727356408.606104,1727356408.606441,1727356408.606441,1727356408.606441,1727356408.606441,1727356408.837192,1727356408.990619,1727356408.990741,1727356408.990741,1727356409.268259,1727356454.225662,1727356475.239204,1727356519.925612,1727356519.925633","[66, 54, 590, 590, 590, 238, 54, 118, 590, 225, 54, 55, 54, 54, 54]","[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1]",streaming_youtube.pcap
2,"('138.197.240.19', 443, '10.184.62.19', 60352, 'TCP')","1727356408.606043,1727356408.835950,1727356408.835950,1727356408.835950,1727356408.837159,1727356408.837159,1727356408.837159,1727356409.220692,1727356409.222247,1727356454.454852,1727356475.239158,1727356475.239158","[66, 54, 54, 54, 590, 590, 483, 54, 299, 66, 78, 54]","[0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",streaming_youtube.pcap
3,"('23.217.111.50', 443, '10.184.62.19', 60293, 'TCP')","1727356414.527766,1727356414.527766","[78, 54]","[1, 0]",streaming_youtube.pcap
4,"('10.184.62.19', 60293, '23.217.111.50', 443, 'TCP')",1727356414.527819,[54],[1],streaming_youtube.pcap
5,"('10.184.62.19', 60354, '142.250.193.194', 443, 'TCP')","1727356417.522515,1727356417.527979,1727356417.528280,1727356417.528280,1727356417.528280,1727356417.528280,1727356417.604130,1727356417.609964,1727356417.610072,1727356417.610165,1727356417.610165,1727356417.610165,1727356417.610165,1727356417.610165,1727356417.610165,1727356417.610165,1727356417.616423,1727356417.616598,1727356417.656318,1727356417.700979,1727356417.701163,1727356427.414272,1727356427.414272,1727356427.414272,1727356427.414272,1727356427.496594,1727356427.497112,1727356472.508078,1727356517.529892,1727356547.887844,1727356547.893102","[66, 54, 590, 590, 590, 180, 54, 128, 146, 590, 590, 590, 590, 590, 590, 115, 54, 85, 54, 54, 93, 590, 590, 590, 178, 54, 93, 55, 55, 54, 54]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]",streaming_youtube.pcap
6,"('142.250.193.194', 443, '10.184.62.19', 60354, 'TCP')","1727356417.527931,1727356417.533771,1727356417.533771,1727356417.533771,1727356417.533771,1727356417.604082,1727356417.604082,1727356417.604082,1727356417.604082,1727356417.604082,1727356417.604082,1727356417.604082,1727356417.604082,1727356417.604082,1727356417.604082,1727356417.608694,1727356417.616367,1727356417.616367,1727356417.616367,1727356417.616367,1727356417.616367,1727356417.616367,1727356417.616367,1727356417.616367,1727356417.616367,1727356417.616367,1727356417.616367,1727356417.616725,1727356417.626004,1727356417.700927,1727356417.700927,1727356417.700927,1727356417.700927,1727356417.700927,1727356417.705715,1727356427.418840,1727356427.418840,1727356427.418840,1727356427.418840,1727356427.496515,1727356427.496515,1727356427.496515,1727356427.496515,1727356427.502156,1727356472.518641,1727356517.535704,1727356547.887322,1727356547.893035","[66, 54, 54, 54, 54, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 73, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 496, 85, 54, 590, 590, 567, 85, 93, 54, 54, 54, 54, 54, 590, 132, 85, 93, 54, 66, 66, 127, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0]",streaming_youtube.pcap
7,"('10.184.62.19', 60355, '142.250.193.34', 443, 'TCP')","1727356417.757736,1727356417.762963,1727356417.763281,1727356417.763281,1727356417.763281,1727356417.763281,1727356417.831446,1727356417.839244,1727356417.839353,1727356417.839418,1727356417.839431,1727356417.845035,1727356417.845246,1727356417.948254,1727356417.948827,1727356462.963160,1727356507.968268,1727356552.973449,1727356584.991511,1727356584.996664","[66, 54, 590, 590, 590, 212, 54, 128, 146, 431, 293, 54, 85, 66, 93, 55, 55, 55, 54, 54]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",streaming_youtube.pcap
8,"('142.250.193.34', 443, '10.184.62.19', 60355, 'TCP')","1727356417.762899,1727356417.767606,1727356417.767606,1727356417.767606,1727356417.767606,1727356417.831391,1727356417.831391,1727356417.831391,1727356417.831391,1727356417.831391,1727356417.831391,1727356417.831391,1727356417.831391,1727356417.831391,1727356417.831391,1727356417.838972,1727356417.844982,1727356417.844982,1727356417.844982,1727356417.844982,1727356417.844982,1727356417.844982,1727356417.844982,1727356417.854055,1727356417.948133,1727356417.948133,1727356417.948133,1727356417.948133,1727356417.953771,1727356462.968365,1727356507.972912,1727356552.978201,1727356584.991274,1727356584.996617","[66, 54, 54, 54, 54, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 71, 54, 54, 54, 54, 590, 496, 85, 54, 369, 85, 93, 93, 54, 66, 66, 66, 127, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",streaming_youtube.pcap
9,"('204.79.197.222', 443, '10.184.62.19', 60295, 'TCP')",1727356419.359216,[54],[1],streaming_youtube.pcap
10,"('10.184.62.19', 60291, '163.70.144.60', 443, 'TCP')",1727356450.633698,[54],[0],streaming_youtube.pcap
