index,connection,timestamps,sizes,directions,file_name
1,"('10.184.62.19', 60473, '104.208.16.89', 443, 'TCP')","1727356816.995975,1727356816.996079,1727356816.996079,1727356816.996079,1727356816.996079,1727356816.996079,1727356816.996079,1727356816.996079,1727356816.996079,1727356817.239440,1727356825.023122","[505, 590, 590, 590, 590, 590, 590, 590, 395, 54, 54]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",streaming_hotstar.pcap
2,"('104.208.16.89', 443, '10.184.62.19', 60473, 'TCP')","1727356817.235248,1727356817.235807,1727356817.235882,1727356817.239408","[54, 54, 54, 499]","[1, 1, 1, 0]",streaming_hotstar.pcap
3,"('10.184.62.19', 60470, '20.189.173.18', 443, 'TCP')","1727356821.626660,1727356866.868983","[55, 55]","[0, 0]",streaming_hotstar.pcap
4,"('20.189.173.18', 443, '10.184.62.19', 60470, 'TCP')","1727356821.865644,1727356867.120891,1727356903.131320","[66, 66, 54]","[0, 1, 1]",streaming_hotstar.pcap
5,"('10.184.62.19', 60513, '34.120.195.249', 443, 'TCP')","1727356822.150700,1727356822.155943,1727356822.156152,1727356822.156152,1727356822.156152,1727356822.156152,1727356822.164216,1727356822.165179,1727356822.165251,1727356822.165314,1727356822.165314,1727356822.165334,1727356822.165334,1727356822.171892,1727356822.172541,1727356822.311110,1727356822.311419,1727356822.323206,1727356822.323231,1727356822.323242,1727356822.323242,1727356822.323256,1727356822.323256,1727356822.469061,1727356822.469247,1727356822.491691,1727356822.492088,1727356835.033507,1727356835.033543,1727356835.033556,1727356835.033556,1727356835.033633,1727356835.033651,1727356835.033651,1727356835.085734,1727356835.180460,1727356835.180784,1727356835.180813,1727356835.202533,1727356835.202942,1727356859.794959,1727356859.794999,1727356859.795010,1727356859.795010,1727356859.840962,1727356859.941506,1727356859.941722,1727356859.941745,1727356860.975351,1727356860.975387,1727356860.975387,1727356860.976511,1727356860.976540,1727356860.976540,1727356861.183920,1727356861.184393,1727356865.665705,1727356865.665736,1727356865.665736,1727356865.666084,1727356865.666107,1727356865.666107,1727356865.816193,1727356865.816397,1727356865.816422,1727356865.827867,1727356865.828144,1727356902.867806,1727356902.867844,1727356902.867856,1727356902.867856,1727356902.868324,1727356902.868351,1727356902.868351,1727356902.915779,1727356903.016644,1727356903.016917,1727356903.016944,1727356903.029380,1727356903.029632,1727356906.780390,1727356906.780446,1727356906.780446,1727356906.782471,1727356906.782513,1727356906.782513,1727356906.927038,1727356906.927397,1727356906.934099,1727356906.934453,1727356951.951582,1727356996.960948,1727357004.682004,1727357004.682040,1727357004.682053,1727357004.682053,1727357004.682126,1727357004.682140,1727357004.682140,1727357004.728304,1727357004.825079,1727357004.827876,1727357004.828236,1727357004.828262,1727357004.829832,1727357005.469186,1727357005.469221,1727357005.469221,1727357005.470563,1727357005.470592,1727357005.470592,1727357005.617013,1727357005.618574,1727357005.618965,1727357005.666113,1727357007.850043,1727357007.850065,1727357007.850065,1727357007.851149,1727357007.851174,1727357007.851174,1727357007.996875,1727357007.997676,1727357007.998321,1727357011.419024,1727357011.419058,1727357011.419058,1727357011.419435,1727357011.419463,1727357011.419463,1727357011.564040,1727357011.565983,1727357011.566299,1727357011.566321,1727357016.163939,1727357016.163976,1727357016.163976,1727357016.164583,1727357016.164615,1727357016.164615,1727357016.310512,1727357016.310868,1727357016.352328,1727357048.478156,1727357048.478213,1727357048.478225,1727357048.478225,1727357048.478289,1727357048.478301,1727357048.478301,1727357048.535504,1727357048.627289,1727357048.629206,1727357048.629408,1727357048.629426,1727357048.674537,1727357049.015737,1727357049.015766,1727357049.015766,1727357049.015805,1727357049.015816,1727357049.015816,1727357049.162935,1727357049.165527,1727357049.165953","[66, 54, 590, 590, 590, 180, 54, 118, 146, 590, 66, 590, 97, 54, 85, 54, 93, 206, 210, 590, 97, 590, 102, 54, 93, 54, 93, 206, 93, 590, 102, 206, 590, 97, 54, 54, 89, 93, 54, 93, 206, 93, 590, 97, 54, 54, 89, 93, 206, 590, 102, 206, 590, 97, 66, 93, 206, 590, 102, 206, 590, 97, 54, 89, 93, 54, 93, 206, 93, 590, 102, 206, 590, 97, 54, 54, 89, 93, 54, 93, 206, 590, 102, 206, 590, 97, 54, 93, 54, 93, 55, 55, 206, 93, 590, 102, 206, 590, 97, 54, 54, 54, 89, 93, 54, 206, 590, 102, 206, 590, 97, 54, 54, 93, 54, 206, 590, 102, 206, 590, 97, 54, 54, 93, 206, 590, 102, 206, 590, 97, 54, 54, 89, 93, 206, 590, 102, 206, 590, 97, 54, 93, 54, 206, 93, 590, 102, 206, 590, 97, 54, 54, 54, 89, 93, 54, 206, 590, 102, 206, 590, 97, 54, 54, 93]","[0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",streaming_hotstar.pcap
6,"('34.120.195.249', 443, '10.184.62.19', 60513, 'TCP')","1727356822.155877,1727356822.161528,1727356822.161528,1727356822.161528,1727356822.161528,1727356822.164189,1727356822.164189,1727356822.164189,1727356822.164189,1727356822.164189,1727356822.164189,1727356822.164189,1727356822.171710,1727356822.171710,1727356822.171710,1727356822.171710,1727356822.171710,1727356822.184934,1727356822.308572,1727356822.311084,1727356822.311084,1727356822.317858,1727356822.328201,1727356822.328201,1727356822.328201,1727356822.328201,1727356822.328959,1727356822.328959,1727356822.466988,1727356822.469041,1727356822.469041,1727356822.475039,1727356822.487445,1727356822.491668,1727356822.491668,1727356822.502904,1727356835.039409,1727356835.039409,1727356835.039409,1727356835.039409,1727356835.039409,1727356835.039409,1727356835.045052,1727356835.178341,1727356835.180437,1727356835.180437,1727356835.186130,1727356835.186130,1727356835.197941,1727356835.202493,1727356835.202493,1727356835.212535,1727356859.799929,1727356859.799929,1727356859.799929,1727356859.799929,1727356859.938678,1727356859.941476,1727356859.941476,1727356859.950331,1727356860.982917,1727356860.982917,1727356860.982917,1727356861.183879,1727356861.183879,1727356861.183879,1727356861.183879,1727356861.183879,1727356861.183879,1727356861.196198,1727356865.686302,1727356865.686302,1727356865.686302,1727356865.686302,1727356865.686302,1727356865.686302,1727356865.814342,1727356865.816168,1727356865.816168,1727356865.822469,1727356865.822469,1727356865.823595,1727356865.827833,1727356865.827833,1727356865.838835,1727356902.874413,1727356902.874413,1727356902.874413,1727356902.874413,1727356902.874413,1727356902.874413,1727356902.878713,1727356903.014049,1727356903.016597,1727356903.016597,1727356903.022834,1727356903.022834,1727356903.024378,1727356903.029320,1727356903.029320,1727356903.039415,1727356906.785822,1727356906.785868,1727356906.785868,1727356906.789457,1727356906.789457,1727356906.789457,1727356906.924174,1727356906.927008,1727356906.927008,1727356906.931909,1727356906.932974,1727356906.934059,1727356906.934059,1727356906.944646,1727356951.957201,1727356996.966148,1727357004.687021,1727357004.687021,1727357004.687021,1727357004.687021,1727357004.687021,1727357004.687021,1727357004.687194,1727357004.687194,1727357004.825046,1727357004.825046,1727357004.827849,1727357004.827849,1727357004.829788,1727357004.833468,1727357005.479174,1727357005.479174,1727357005.479174,1727357005.615908,1727357005.616980,1727357005.618542,1727357005.618542,1727357005.620134,1727357005.629830,1727357007.855478,1727357007.855478,1727357007.855478,1727357007.856833,1727357007.856833,1727357007.856833,1727357007.996838,1727357007.996838,1727357007.997652,1727357007.997652,1727357007.997652,1727357008.003917,1727357011.424104,1727357011.424104,1727357011.424104,1727357011.424880,1727357011.424880,1727357011.424880,1727357011.563947,1727357011.563947,1727357011.565961,1727357011.565961,1727357011.566142,1727357011.571378,1727357011.571378,1727357016.170266,1727357016.170266,1727357016.170266,1727357016.170266,1727357016.170266,1727357016.170266,1727357016.307038,1727357016.310487,1727357016.310487,1727357016.310487,1727357016.311458,1727357016.317165,1727357048.491350,1727357048.491350,1727357048.491350,1727357048.491350,1727357048.491350,1727357048.491350,1727357048.491350,1727357048.491350,1727357048.626491,1727357048.627268,1727357048.629152,1727357048.629152,1727357048.630223,1727357048.635348,1727357049.021716,1727357049.021716,1727357049.027048,1727357049.160383,1727357049.162889,1727357049.165504,1727357049.165504,1727357049.165504,1727357049.171487","[66, 54, 54, 54, 54, 590, 590, 590, 494, 590, 590, 469, 54, 54, 590, 136, 85, 54, 365, 87, 93, 54, 54, 54, 54, 54, 54, 54, 121, 87, 93, 54, 121, 87, 93, 54, 54, 54, 54, 54, 93, 54, 54, 121, 87, 93, 54, 54, 121, 87, 93, 54, 54, 54, 93, 54, 121, 87, 93, 54, 54, 54, 54, 121, 87, 93, 121, 87, 87, 54, 54, 54, 54, 54, 54, 54, 121, 87, 93, 54, 54, 121, 87, 93, 54, 54, 54, 54, 54, 93, 54, 54, 121, 87, 93, 54, 54, 121, 87, 93, 54, 54, 54, 54, 54, 54, 54, 121, 87, 93, 121, 54, 87, 93, 54, 66, 66, 54, 54, 54, 54, 54, 54, 54, 93, 121, 121, 87, 93, 87, 54, 54, 54, 54, 121, 121, 87, 93, 87, 54, 54, 54, 54, 54, 54, 54, 121, 121, 87, 93, 87, 54, 54, 54, 54, 54, 54, 54, 121, 121, 87, 93, 87, 54, 54, 54, 54, 54, 54, 54, 54, 121, 87, 93, 121, 87, 54, 54, 54, 54, 54, 54, 54, 54, 93, 121, 121, 87, 93, 87, 54, 54, 54, 54, 121, 121, 87, 93, 87, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]",streaming_hotstar.pcap
7,"('10.184.62.19', 60515, '23.32.176.157', 443, 'TCP')","1727356822.253922,1727356822.257218,1727356822.257536,1727356822.257536,1727356822.257536,1727356822.257536,1727356822.264476,1727356822.267929,1727356822.269607,1727356822.269687,1727356822.269780,1727356822.275237,1727356822.279015,1727356822.279240,1727356822.280815,1727356822.280815,1727356822.280815,1727356822.280815,1727356822.280815,1727356822.280815,1727356822.448749,1727356860.027443,1727356860.027466,1727356860.040519,1727356860.041105,1727356860.042337,1727356860.042337,1727356860.042337,1727356860.042337,1727356860.042337,1727356860.042337,1727356860.190096,1727356905.201933,1727356950.213948,1727356980.272025,1727356980.272426","[66, 54, 590, 590, 590, 239, 54, 54, 118, 146, 536, 54, 54, 85, 590, 590, 590, 590, 590, 570, 54, 412, 93, 54, 89, 590, 590, 590, 590, 590, 571, 54, 55, 55, 54, 54]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0]",streaming_hotstar.pcap
8,"('23.32.176.157', 443, '10.184.62.19', 60515, 'TCP')","1727356822.257142,1727356822.262473,1727356822.262473,1727356822.262473,1727356822.264404,1727356822.264404,1727356822.264404,1727356822.264404,1727356822.267907,1727356822.267907,1727356822.267907,1727356822.267907,1727356822.275215,1727356822.275215,1727356822.275215,1727356822.278991,1727356822.278991,1727356822.278991,1727356822.278991,1727356822.278991,1727356822.283963,1727356822.284824,1727356822.448668,1727356822.448668,1727356822.448668,1727356822.448668,1727356860.033965,1727356860.033965,1727356860.040496,1727356860.040496,1727356860.040496,1727356860.052696,1727356860.190030,1727356860.190030,1727356860.190030,1727356860.190030,1727356905.206579,1727356950.217768,1727356980.271935,1727356980.271935,1727356980.276411","[66, 54, 54, 54, 590, 590, 590, 590, 590, 590, 590, 189, 54, 325, 325, 115, 85, 590, 465, 87, 54, 54, 590, 590, 154, 85, 54, 93, 590, 465, 87, 54, 590, 590, 156, 85, 66, 66, 78, 54, 54]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",streaming_hotstar.pcap
9,"('10.184.62.19', 59921, '34.120.195.249', 443, 'UDP')","1727356822.323004,1727356822.323050,1727356822.624615,1727356823.233800,1727356824.434657,1727356826.323766","[1292, 1292, 1292, 1292, 1292, 1292]","[1, 1, 1, 1, 1, 1]",streaming_hotstar.pcap
10,"('10.184.62.19', 60518, '162.159.152.17', 443, 'TCP')","1727356822.645465,1727356822.673210,1727356822.673448,1727356822.673448,1727356822.673448,1727356822.673448,1727356822.709109,1727356822.709156,1727356822.710056,1727356822.710138,1727356822.710203,1727356822.710203,1727356822.737448,1727356822.737655,1727356822.750460,1727356822.751593,1727356859.740933,1727356859.740959,1727356859.778400,1727356904.780054,1727356949.813636,1727356994.847928,1727357039.887692","[66, 54, 590, 590, 590, 167, 54, 54, 118, 146, 590, 141, 54, 85, 54, 54, 172, 93, 54, 55, 55, 55, 55]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",streaming_hotstar.pcap
