index,connection,timestamps,sizes,directions,file_name
1,"('10.184.62.19', 61146, '3.137.95.47', 443, 'TCP')","1727357554.908621,1727357555.143649,1727357555.143879,1727357555.143879,1727357555.143879,1727357555.143879,1727357555.379274,1727357555.380189,1727357555.380258,1727357555.380326,1727357555.380326,1727357555.380326,1727357555.614558,1727357555.621416,1727357555.679039,1727357600.895577,1727357612.768303,1727357612.768352,1727357613.012116,1727357658.013705,1727357703.250470,1727357712.940993,1727357712.941010,1727357713.180386,1727357734.847385,1727357734.847437,1727357735.091292,1727357769.040286,1727357769.274876","[66, 54, 590, 590, 590, 270, 54, 118, 146, 590, 590, 504, 85, 54, 54, 55, 163, 93, 54, 55, 55, 144, 93, 54, 433, 93, 54, 54, 54]","[0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",streaming_netflix.pcap
2,"('10.184.62.19', 61152, '20.44.10.122', 443, 'TCP')","1727357555.007797,1727357555.248304,1727357555.249204,1727357555.491791,1727357555.508269,1727357555.757433,1727357555.764029,1727357555.764205,1727357555.764205,1727357555.764413,1727357555.764526,1727357555.764526,1727357555.764526,1727357556.057337,1727357556.301687,1727357556.301912,1727357556.301912,1727357556.301912,1727357556.301912,1727357556.301912,1727357556.301912,1727357556.633857,1727357556.634164,1727357556.634164,1727357556.634164,1727357556.634164,1727357556.634164,1727357556.634164,1727357556.634164,1727357556.634164,1727357556.953103,1727357557.206478","[66, 54, 266, 54, 212, 54, 141, 590, 585, 92, 590, 590, 90, 54, 526, 590, 590, 590, 590, 590, 589, 187, 590, 590, 590, 590, 590, 590, 590, 380, 54, 54]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",streaming_netflix.pcap
3,"('3.137.95.47', 443, '10.184.62.19', 61146, 'TCP')","1727357555.143597,1727357555.378280,1727357555.378280,1727357555.379211,1727357555.379211,1727357555.379211,1727357555.379211,1727357555.379211,1727357555.614410,1727357555.614410,1727357555.614410,1727357555.616443,1727357555.621380,1727357555.621380,1727357555.621380,1727357555.629637,1727357555.892613,1727357601.131705,1727357613.002556,1727357613.002556,1727357613.003377,1727357613.012052,1727357658.248412,1727357703.485034,1727357713.176249,1727357713.176249,1727357713.176338,1727357713.180358,1727357735.081532,1727357735.081979,1727357735.091271,1727357769.274825","[66, 54, 54, 590, 590, 590, 590, 532, 54, 54, 540, 85, 590, 590, 590, 191, 54, 66, 54, 54, 93, 212, 66, 66, 54, 54, 93, 212, 54, 93, 212, 54]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0]",streaming_netflix.pcap
4,"('20.44.10.122', 443, '10.184.62.19', 61152, 'TCP')","1727357555.248243,1727357555.491697,1727357555.491697,1727357555.491697,1727357555.491697,1727357555.491697,1727357555.491697,1727357555.491697,1727357555.491697,1727357555.757367,1727357555.757367,1727357556.003243,1727357556.003577,1727357556.005197,1727357556.005197,1727357556.297607,1727357556.541088,1727357556.541714,1727357556.541714,1727357556.627092,1727357556.873042,1727357556.873042,1727357556.874410,1727357556.874410,1727357556.941024,1727357557.206412,1727357557.206412","[66, 590, 590, 590, 590, 590, 590, 590, 537, 105, 123, 54, 54, 54, 92, 339, 54, 54, 54, 164, 54, 54, 54, 54, 159, 96, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]",streaming_netflix.pcap
5,"('10.184.62.19', 61043, '52.168.117.168', 443, 'TCP')","1727357558.081801,1727357603.292643","[55, 55]","[0, 0]",streaming_netflix.pcap
6,"('52.168.117.168', 443, '10.184.62.19', 61043, 'TCP')","1727357558.289010,1727357603.499288,1727357639.949318","[66, 66, 54]","[0, 1, 1]",streaming_netflix.pcap
7,"('10.184.62.19', 61184, '180.149.52.210', 443, 'TCP')","1727357606.840065,1727357606.843442,1727357606.845983,1727357606.845983,1727357606.856155,1727357606.857954,1727357606.862064,1727357606.877177,1727357606.880279,1727357606.880279,1727357606.880279,1727357606.880279,1727357606.884553,1727357606.884735,1727357607.803781,1727357607.807039,1727357607.809334,1727357607.811025,1727357607.811113,1727357607.812583,1727357607.812881,1727357607.814890,1727357607.815713,1727357607.815921,1727357607.817627,1727357716.770965,1727357717.071559,1727357717.413315","[66, 54, 590, 115, 54, 134, 54, 134, 590, 590, 590, 532, 54, 85, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","[0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",streaming_netflix.pcap
8,"('180.149.52.210', 443, '10.184.62.19', 61184, 'TCP')","1727357606.843362,1727357606.854950,1727357606.854950,1727357606.856004,1727357606.861721,1727357606.862052,1727357606.884494,1727357606.884494,1727357606.884494,1727357606.884494,1727357606.935232,1727357607.803714,1727357607.803714,1727357607.803714,1727357607.803714,1727357607.803714,1727357607.803714,1727357607.806998,1727357607.806998,1727357607.806998,1727357607.806998,1727357607.806998,1727357607.806998,1727357607.806998,1727357607.806998,1727357607.806998,1727357607.806998,1727357607.809263,1727357607.809263,1727357607.809263,1727357607.809263,1727357607.809263,1727357607.809263,1727357607.809263,1727357607.809263,1727357607.809263,1727357607.809263,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.810967,1727357607.811100,1727357607.811100,1727357607.811100,1727357607.811100,1727357607.812539,1727357607.812539,1727357607.812828,1727357607.812828,1727357607.812828,1727357607.812828,1727357607.812828,1727357607.812828,1727357607.812828,1727357607.812828,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.814844,1727357607.815659,1727357607.815659,1727357607.815659,1727357607.815659,1727357607.815659,1727357607.815659,1727357607.815659,1727357607.815659,1727357607.815659,1727357607.815659,1727357607.815882,1727357607.815882,1727357607.815882,1727357607.815882,1727357607.815882,1727357607.815882,1727357607.815882,1727357607.815882,1727357607.817581,1727357607.817581,1727357607.817581,1727357607.817581,1727357607.817581,1727357607.817581,1727357607.817581,1727357607.817581,1727357717.413242","[66, 54, 54, 318, 54, 341, 54, 115, 85, 54, 54, 590, 590, 590, 590, 590, 464, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 511, 78]","[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",streaming_netflix.pcap
9,"('10.184.62.19', 61206, '20.42.72.131', 443, 'TCP')","1727357689.280153,1727357689.487082,1727357689.489713,1727357689.697654,1727357689.735688,1727357689.950762,1727357690.158843,1727357690.161272,1727357690.161693,1727357690.161693,1727357690.368033,1727357690.370360","[66, 54, 443, 54, 514, 54, 54, 128, 590, 539, 54, 54]","[0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1]",streaming_netflix.pcap
10,"('20.42.72.131', 443, '10.184.62.19', 61206, 'TCP')","1727357689.486991,1727357689.697589,1727357689.950683,1727357689.950683,1727357689.950683,1727357689.950683,1727357689.950683,1727357689.950683,1727357689.950683,1727357689.950683,1727357689.950683,1727357689.950683,1727357690.158793,1727357690.158793,1727357690.367951,1727357690.370279,1727357690.370279,1727357690.370279","[66, 153, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 546, 157, 54, 54, 574]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0]",streaming_netflix.pcap
11,"('10.184.62.19', 61211, '13.107.5.93', 443, 'TCP')","1727357704.221915,1727357705.222792,1727357707.222731,1727357711.229512","[66, 66, 66, 66]","[1, 1, 1, 1]",streaming_netflix.pcap
12,"('10.184.62.19', 61212, '13.107.5.93', 443, 'TCP')","1727357706.873274,1727357707.875806,1727357709.876447,1727357713.877486","[66, 66, 66, 66]","[1, 1, 1, 1]",streaming_netflix.pcap
13,"('10.184.62.19', 61234, '20.189.173.17', 443, 'TCP')","1727357716.243125,1727357716.481754,1727357716.482224,1727357716.751907,1727357716.994681,1727357716.994809,1727357716.995559,1727357716.995559,1727357716.995559,1727357716.995559,1727357717.274752,1727357718.277189,1727357718.882194,1727357718.882194,1727357718.882194,1727357719.165195,1727357720.123273,1727357721.360924,1727357722.601660,1727357723.838795,1727357724.122141,1727357724.359874","[66, 54, 571, 491, 54, 54, 590, 590, 590, 136, 54, 55, 590, 590, 583, 54, 55, 55, 55, 55, 54, 54]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",streaming_netflix.pcap
