index,connection,timestamps,sizes,directions,file_name
1,"('10.184.62.19', 49414, '20.198.119.143', 443, 'TCP')","1727358971.827490,1727358971.904769,1727358983.555224,1727359010.793415,1727359054.654867","[154, 54, 188, 188, 188]","[0, 0, 0, 0, 0]",teams_messaging.pcap
2,"('20.198.119.143', 443, '10.184.62.19', 49414, 'TCP')","1727358971.857899,1727358983.538499,1727358983.633786,1727359010.776753,1727359010.868193,1727359054.637647,1727359054.735229","[224, 432, 54, 432, 54, 420, 54]","[0, 0, 1, 0, 1, 0, 1]",teams_messaging.pcap
3,"('10.184.62.19', 56330, '10.10.1.5', 53, 'UDP')",1727358972.559500,[75],[0],teams_messaging.pcap
4,"('10.184.62.19', 65470, '10.10.1.5', 53, 'UDP')",1727358972.559699,[75],[0],teams_messaging.pcap
5,"('10.184.62.19', 53057, '10.10.1.5', 53, 'UDP')",1727358972.559908,[75],[0],teams_messaging.pcap
6,"('10.184.62.19', 51572, '10.10.1.5', 53, 'UDP')",1727358972.560023,[75],[0],teams_messaging.pcap
7,"('10.10.1.5', 53, '10.184.62.19', 56330, 'UDP')",1727358972.562628,[91],[1],teams_messaging.pcap
8,"('10.10.1.5', 53, '10.184.62.19', 65470, 'UDP')",1727358972.563075,[128],[1],teams_messaging.pcap
9,"('10.10.1.5', 53, '10.184.62.19', 51572, 'UDP')",1727358972.563075,[128],[1],teams_messaging.pcap
10,"('10.10.1.5', 53, '10.184.62.19', 53057, 'UDP')",1727358972.563075,[91],[1],teams_messaging.pcap
11,"('10.184.62.19', 61569, '10.10.1.5', 53, 'UDP')",1727358972.597726,[75],[0],teams_messaging.pcap
12,"('10.184.62.19', 59496, '10.10.1.5', 53, 'UDP')",1727358972.597907,[75],[0],teams_messaging.pcap
13,"('10.10.1.5', 53, '10.184.62.19', 61569, 'UDP')",1727358972.599501,[91],[1],teams_messaging.pcap
14,"('10.10.1.5', 53, '10.184.62.19', 59496, 'UDP')",1727358972.600102,[128],[1],teams_messaging.pcap
15,"('10.184.62.19', 55983, '10.10.1.5', 53, 'UDP')",1727358972.635058,[79],[0],teams_messaging.pcap
16,"('10.184.62.19', 55287, '10.10.1.5', 53, 'UDP')",1727358972.635160,[79],[0],teams_messaging.pcap
17,"('10.184.62.19', 63398, '10.10.1.5', 53, 'UDP')",1727358972.635457,[79],[0],teams_messaging.pcap
18,"('10.10.1.5', 53, '10.184.62.19', 55983, 'UDP')",1727358972.666594,[233],[1],teams_messaging.pcap
19,"('10.10.1.5', 53, '10.184.62.19', 55287, 'UDP')",1727358972.666594,[79],[1],teams_messaging.pcap
20,"('10.184.62.19', 64192, '52.123.129.14', 443, 'TCP')","1727358972.667117,1727358972.672159,1727358972.691802,1727358972.691802,1727358972.691802,1727358972.691802,1727358972.699680,1727358972.699680,1727358972.708129,1727358972.714859,1727358972.719764,1727358973.836429,1727358973.836805,1727358973.836874,1727358973.836874,1727358973.836874,1727358973.836874,1727358973.836874,1727358973.837051,1727358973.837051,1727358973.837051,1727358973.837051,1727358973.842246,1727358973.842451,1727358973.842451,1727358973.842451,1727358973.842451,1727358973.842451,1727358973.842511,1727358973.870671,1727358973.981167,1727358974.032083,1727358974.104147,1727358974.268315,1727358974.558644,1727358974.558644,1727358974.558644,1727358974.558644,1727358974.558644,1727358974.558721,1727358974.720892,1727358974.720892,1727358974.720892,1727358974.720892,1727358974.721000,1727358974.760948,1727358974.760948,1727358974.760948,1727358974.760948,1727358974.760948,1727358974.761025,1727358974.803178,1727358974.902221,1727358975.103429,1727358975.121087,1727358975.121087,1727358975.121087,1727358975.121087,1727358975.121087,1727358975.185340,1727358975.185340,1727358975.185340,1727358975.185340,1727358975.185340,1727358975.225912,1727358975.225912,1727358975.225912,1727358975.225912,1727358975.271165,1727358975.303484,1727358975.442374,1727358975.446594,1727358975.446594,1727358975.446594,1727358975.446594,1727358975.446594,1727358975.455374,1727358975.455466,1727358975.455850,1727358975.456654,1727358975.459592,1727358975.459592,1727358975.459592,1727358975.459592,1727358975.491862,1727358975.491862,1727358975.491862,1727358975.491862,1727358975.491862,1727358975.491862,1727358975.491862,1727358975.491862,1727358975.491862,1727358975.500047,1727358975.503472,1727358975.503472,1727358975.503472,1727358975.503472,1727358975.530358,1727358975.535027,1727358975.535027,1727358975.535027,1727358975.535027,1727358975.535027,1727358975.535101,1727358975.549482,1727358975.607903,1727358975.613933,1727358975.613933,1727358975.613933,1727358975.613933,1727358975.636644,1727358975.636644,1727358975.636644,1727358975.636644,1727358975.636644,1727358975.657576,1727358975.672607,1727358975.684020,1727358975.684020,1727358975.684020,1727358975.684020,1727358975.739317,1727358975.744244,1727358975.752581,1727358975.905709,1727358976.342581,1727358976.342581,1727358976.342581,1727358976.342581,1727358976.602756,1727358976.709325,1727358976.709325,1727358976.709325,1727358976.709325,1727358976.709325,1727358976.761368,1727358977.427546,1727358977.427546,1727358977.427546,1727358977.427546,1727358977.427546,1727358977.427604,1727358977.451821,1727358977.475045,1727358977.610302,1727358980.698443,1727358980.840557,1727358980.841821,1727358980.842324,1727358980.903649,1727358980.903833,1727358980.907817,1727358980.908091,1727358980.908438,1727358980.908648,1727358980.909653,1727358980.913147,1727358980.968510,1727358980.968759,1727358980.969087,1727358980.970821,1727358980.971202,1727358980.971440,1727358980.973235,1727358980.973991,1727358980.975503,1727358980.975556,1727358980.975815,1727358980.976795,1727358980.976863,1727358981.020851,1727358981.032986,1727358981.033062,1727358981.033270,1727358981.034249,1727358981.034366,1727358981.035953,1727358981.036205,1727358981.036280,1727358981.037378,1727358981.037760,1727358981.037922,1727358981.038760,1727358981.038965,1727358981.040081,1727358981.040163,1727358981.040405,1727358981.041420,1727358981.042810,1727358981.042857,1727358981.043057,1727358981.043717,1727358981.045126,1727358981.045330,1727358981.045630,1727358981.046083,1727358981.047173,1727358981.047323,1727358981.047415,1727358981.047454,1727358981.052097","[66, 54, 590, 590, 590, 239, 590, 157, 54, 128, 54, 146, 85, 590, 590, 590, 590, 375, 590, 590, 590, 501, 54, 590, 590, 590, 590, 406, 435, 341, 54, 54, 54, 54, 590, 590, 590, 590, 547, 452, 590, 590, 590, 80, 482, 590, 590, 590, 590, 528, 133, 54, 54, 194, 590, 590, 590, 590, 286, 590, 590, 590, 590, 558, 590, 590, 590, 369, 54, 171, 54, 590, 590, 590, 590, 174, 54, 54, 54, 54, 590, 590, 590, 542, 590, 590, 590, 590, 590, 590, 590, 590, 87, 54, 590, 590, 590, 288, 54, 590, 590, 590, 590, 316, 211, 54, 54, 590, 590, 590, 348, 590, 590, 590, 590, 394, 54, 54, 590, 590, 590, 406, 54, 54, 228, 54, 590, 590, 590, 525, 54, 590, 590, 590, 590, 119, 54, 590, 590, 590, 590, 132, 150, 590, 228, 54, 361, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",teams_messaging.pcap
21,"('10.10.1.5', 53, '10.184.62.19', 63398, 'UDP')",1727358972.667605,[233],[1],teams_messaging.pcap
